id,candidato,data_ited,conversation_id,referenced_tweet_id
1561035058504400896,Lula,2022-08-21,1561035058504400896,
1561027323994034183,Lula,2022-08-21,1561027323994034183,
1561026105397678080,Lula,2022-08-21,1561026105397678080,
1561025463488839680,Lula,2022-08-21,1561025463488839680,
1561024477403774977,Lula,2022-08-21,1561024477403774977,
1561023596876767233,Lula,2022-08-21,1561023596876767233,
1561023260317421570,Lula,2022-08-21,1561023260317421570,
1561022855189504002,Lula,2022-08-21,1561022855189504002,
1561022503446790151,Lula,2022-08-21,1561022503446790151,
1561021086854152193,Lula,2022-08-21,1561021086854152193,
1561005440401453063,Lula,2022-08-21,1561005440401453063,
1560975479070511104,Lula,2022-08-21,1560975479070511104,
1560942135834181632,Lula,2022-08-21,1560942135834181632,
1560812568490524673,Lula,2022-08-21,1560812568490524673,
1560785951512723456,Lula,2022-08-21,1560776042821853186,1560778111276417036
1561496312532635648,Lula,2022-08-22,1561496312532635648,
1561471041507033088,Lula,2022-08-22,1561471041507033088,
1561438382470975491,Lula,2022-08-22,1561438382470975491,
1561389851102134272,Lula,2022-08-22,1561389851102134272,
1561367160534220800,Lula,2022-08-22,1561367160534220800,1561304727266131968
1561350688705335300,Lula,2022-08-22,1561350688705335300,
1561337584588324864,Lula,2022-08-22,1561231169760509954,1561231169760509954
1561309279365259265,Lula,2022-08-22,1561309279365259265,
1561158923868160006,Lula,2022-08-22,1561158923868160006,
1561843791803256833,Lula,2022-08-23,1561843791803256833,
1561840011972075522,Lula,2022-08-23,1561840011972075522,
1561822441982382082,Lula,2022-08-23,1561822441982382082,
1561790057006112768,Lula,2022-08-23,1561790057006112768,
1561741551495266310,Lula,2022-08-23,1561741551495266310,
1561736889908006920,Lula,2022-08-23,1561736889908006920,
1561735087540019204,Lula,2022-08-23,1561735087540019204,
1561734858925285377,Lula,2022-08-23,1561734858925285377,
1561732530474205184,Lula,2022-08-23,1561732530474205184,
1561732426996514816,Lula,2022-08-23,1561732426996514816,
1561731250087514114,Lula,2022-08-23,1561731250087514114,
1561729831955464195,Lula,2022-08-23,1561729831955464195,
1561729438873796608,Lula,2022-08-23,1561729438873796608,
1561729328118988800,Lula,2022-08-23,1561729328118988800,
1561729218958049280,Lula,2022-08-23,1561729218958049280,
1561729061596061699,Lula,2022-08-23,1561729061596061699,
1561728377505062914,Lula,2022-08-23,1561728377505062914,
1561725410185994240,Lula,2022-08-23,1561725410185994240,
1561725252622761986,Lula,2022-08-23,1561725252622761986,
1561724425522782209,Lula,2022-08-23,1561724425522782209,
1561724296812236800,Lula,2022-08-23,1561724296812236800,
1561723908599996416,Lula,2022-08-23,1561723908599996416,
1561723784314474496,Lula,2022-08-23,1561723784314474496,
1561720995643240448,Lula,2022-08-23,1561720995643240448,
1561703822870855681,Lula,2022-08-23,1561703822870855681,
1561661580701474817,Lula,2022-08-23,1561661580701474817,
1561523181403488256,Lula,2022-08-23,1561523181403488256,
1562215759710912512,Lula,2022-08-24,1562215759710912512,
1562195448831520769,Lula,2022-08-24,1562195448831520769,
1562195228035260417,Lula,2022-08-24,1562195228035260417,
1562191062503866369,Lula,2022-08-24,1562191062503866369,
1562147018268606464,Lula,2022-08-24,1562147018268606464,
1562102136548237312,Lula,2022-08-24,1562102136548237312,
1562065894070784000,Lula,2022-08-24,1562065894070784000,1561923781664423937
1562025316129935360,Lula,2022-08-24,1562025316129935360,
1561887676583841793,Lula,2022-08-24,1561887676583841793,
1562575634039439361,Lula,2022-08-25,1562575634039439361,
1562567425866235910,Lula,2022-08-25,1562567415279394816,1562567423403864065
1562567423403864065,Lula,2022-08-25,1562567415279394816,1562567421256663040
1562567421256663040,Lula,2022-08-25,1562567415279394816,1562567418496438273
1562567418496438273,Lula,2022-08-25,1562567415279394816,1562567415279394816
1562567415279394816,Lula,2022-08-25,1562567415279394816,
1562535325800759302,Lula,2022-08-25,1562535325800759302,
1562494938662961152,Lula,2022-08-25,1562494934074044421,1562494934074044421
1562494934074044421,Lula,2022-08-25,1562494934074044421,
1562464753670270976,Lula,2022-08-25,1562464753670270976,1562454607632076803
